Id,Main,title,Third,Brands,旗舰店,天猫超市,海外旗舰店
214,进口食品,进口酒饮,进口洋酒,HAIG CLUB/翰格蓝爵,1,1,0
215,进口食品,进口酒饮,进口洋酒,SKYY/深蓝,1,1,0
216,进口食品,进口酒饮,进口洋酒,真露,1,1,0
217,进口食品,进口酒饮,进口洋酒,TALISKER/泰斯卡,1,1,0
218,进口食品,进口酒饮,进口洋酒,Bacardi/百加得,1,1,0
219,进口食品,进口酒饮,进口洋酒,Baileys/百利,1,1,0
220,进口食品,进口酒饮,进口果汁,Union,1,1,1
221,进口食品,进口酒饮,进口果汁,酷椰屿,1,1,0
222,进口食品,进口酒饮,进口果汁,Ocean/鸥欣,1,1,0
223,进口食品,进口酒饮,进口果汁,cocoaland LOT100/一百份,1,1,0
224,进口食品,进口酒饮,进口果汁,Hamu,1,1,0
225,进口食品,进口酒饮,进口果汁,芬特乐（塞浦路斯）,0,1,0
226,进口食品,进口酒饮,进口果汁,COCON/可康,1,1,0
227,进口食品,进口酒饮,进口果汁,普瑞达（塞浦路斯）,0,1,0
228,进口食品,进口酒饮,进口果汁,盛香珍,1,1,1
229,进口食品,进口酒饮,进口果汁,Chumei/趣味,0,1,0
230,进口食品,进口酒饮,进口果汁,kj,1,1,0
231,进口食品,进口酒饮,进口果汁,超级飞侠,1,0,0
232,进口食品,进口酒饮,进口果汁,UFC牌（泰国）,0,1,0
233,进口食品,进口酒饮,进口果汁,琉球公主,0,1,0
234,进口食品,进口酒饮,进口果汁,九日,1,1,0
235,进口食品,进口酒饮,进口果汁,小猪佩奇,1,0,0
236,进口食品,进口酒饮,进口果汁,意文（意大利）,0,1,0
237,进口食品,进口酒饮,进口果汁,jaxcoco/珏士高,0,1,0
238,进口食品,进口酒饮,进口果汁,CHABAA,0,1,0
239,进口食品,进口酒饮,进口果汁,Dreena/特丽娜,0,1,0
240,进口食品,进口酒饮,进口水,Listerine/李施德林,1,1,0
241,进口食品,进口酒饮,进口水,Union,1,1,1
242,进口食品,进口酒饮,进口水,Evian/依云,1,1,1
243,进口食品,进口酒饮,进口水,Perrier/巴黎水,1,1,1
244,进口食品,进口酒饮,进口水,RYO/吕,1,1,1
245,进口食品,进口酒饮,进口水,LG,1,1,0
246,进口食品,进口酒饮,进口水,Ora2/皓乐齿,1,1,0
247,进口食品,进口酒饮,进口水,LOCKFUN,0,1,0
248,进口食品,进口酒饮,进口水,Theramed,1,1,1
249,进口食品,进口酒饮,进口水,SAN BENEDETTO/圣碧涛,1,1,0
250,进口食品,进口酒饮,进口水,保黛宝,1,1,0
251,进口食品,进口酒饮,进口水,Ocean/鸥欣,1,1,0
252,进口食品,进口酒饮,进口水,惠润,1,1,0
253,进口食品,进口酒饮,进口水,普乐姆,0,1,0
254,进口食品,进口酒饮,进口水,YANKEE CANDLE/扬基,1,1,0
255,进口食品,进口酒饮,进口水,霏澈,1,1,0
256,进口食品,进口酒饮,进口水,潘德拉,1,1,1
257,进口食品,进口酒饮,进口水,Propolinse/比那氏,1,0,1
258,进口食品,进口酒饮,进口水,皓齿清,1,1,0
259,进口食品,进口酒饮,进口水,Shiseido/资生堂,1,0,1
260,进口食品,进口酒饮,进口咖啡饮料,UCC,1,1,1
261,进口食品,进口酒饮,进口咖啡饮料,Binggrae/宾格瑞,1,1,0
262,进口食品,进口酒饮,进口咖啡饮料,MR．BROWN/伯朗,0,1,0
263,进口食品,进口酒饮,进口咖啡饮料,Alicafe/啡特力,1,1,0
264,进口食品,进口酒饮,进口碳酸饮料,bundaberg,1,1,1
265,进口食品,进口酒饮,进口碳酸饮料,OCEAN BOMB,1,1,0
266,进口食品,进口酒饮,进口碳酸饮料,100冲劲牌（马来西亚）,0,1,0
267,进口食品,进口酒饮,进口碳酸饮料,HATA/波子气水,0,1,0
268,进口食品,进口酒饮,进口碳酸饮料,九日,1,1,0
269,进口食品,进口酒饮,进口碳酸饮料,大西洋,1,1,1
270,进口食品,进口酒饮,进口碳酸饮料,百事可乐,1,1,0
271,进口食品,进口粮油/速食/调料,进口橄榄油,蓓琳娜,1,1,0
272,进口食品,进口粮油/速食/调料,进口橄榄油,Olivoila/欧丽薇兰,1,1,0
273,进口食品,进口粮油/速食/调料,进口橄榄油,Borges/伯爵,1,1,0
